Description,Views,Likes,Comments,Shares,Bookmarks,Post URL,Post Date
My big toe is always the most bruised part of my body for some reason  😂😂 #rugby #fyp ,2083,176,6,5,1,https://www.tiktok.com/@ariana.ramsey/video/7504380178869587246,5/14/2025 12:07
SURPRISEEE,833,93,8,1,1,https://www.tiktok.com/@ariana.ramsey/video/7504019501806161198,5/13/2025 12:48
hehehe  ,1173,94,4,0,0,https://www.tiktok.com/@ariana.ramsey/video/7502158433966247210,5/8/2025 12:26
If you’re not watching rugby this weekend what are you doing!!??#rugby #olympian #lasevens ,2632,363,17,4,5,https://www.tiktok.com/@ariana.ramsey/video/7499905783157493035,5/2/2025 10:44
THEY SLAP #rugby #olympian #cheatsnacks #bestsnacks ,733,32,2,0,1,https://www.tiktok.com/@ariana.ramsey/video/7498519086582762795,4/28/2025 17:03
Day in the life of an Olympian ✨😏😏 #rugby #usarugby #olympian #blackolympian ,753,79,6,1,0,https://www.tiktok.com/@ariana.ramsey/video/7498507348093259054,4/28/2025 16:18
Yesss thanks Lo 🥳🥳 @Ilona Maher ,1453,151,8,3,3,https://www.tiktok.com/@ariana.ramsey/video/7497030912194956590,4/24/2025 16:48
come with me to watch the fastest man in the Paralympics run 😏😏 #paratrack #travk #olympian #paralympian ,1144,115,4,0,0,https://www.tiktok.com/@ariana.ramsey/video/7495543085229755694,4/20/2025 16:35
RUGBY WORKOUT! Get into your fitness goals it’s almost summer ladies and gentleman 👏🏽👏🏽👏🏽 #rugby #fyp #olympian #usarugby ,946,98,7,2,5,https://www.tiktok.com/@ariana.ramsey/video/7495059018625584430,4/19/2025 9:16
Did not get the result we wanted but here we are! We keep going and striving for the result we want in LA!!!  #rugby #la2028,1023,114,5,0,0,https://www.tiktok.com/@ariana.ramsey/video/7491802466816658730,4/10/2025 14:39
Shenanigans 😂😂,1448,129,3,4,2,https://www.tiktok.com/@ariana.ramsey/video/7488716589307563306,4/2/2025 7:05
WE MADE ITTT #hongkong ,1958,266,3,1,3,https://www.tiktok.com/@ariana.ramsey/video/7485503433261239594,3/24/2025 15:16
I don’t know anything about that last once I don’t ask 😂 #rugby #scrum ##olympian,2330,274,6,7,7,https://www.tiktok.com/@ariana.ramsey/video/7482501607406505258,3/16/2025 13:07
"When you think it’s over, you prob still have some more in the tank 🤞🏽💕 #fyp  #rugby #olympian #usarugby ",9780,1513,16,2,5,https://www.tiktok.com/@ariana.ramsey/video/7480698554416106794,3/11/2025 16:30
😂😂😂 this was fun to make #rugby #rugbycalls #olympian,2393,277,4,6,5,https://www.tiktok.com/@ariana.ramsey/video/7479196515148320043,3/7/2025 14:22
GIRLS CMON 😆 #rugby #olympian #usarugbgy ,4988,1027,16,4,7,https://www.tiktok.com/@ariana.ramsey/video/7477310422371110186,3/2/2025 12:23
"This is my pregame hype activity, listening to music and braiding my hair! 🥳🥳✨ ##naturalhair##usarugby##rugby##fyp",1288,150,8,0,4,https://www.tiktok.com/@ariana.ramsey/video/7476645585680878891,2/28/2025 17:23
#CapCut #gamenight #minutetowinit #teamideas ,14500,108,2,21,76,https://www.tiktok.com/@ariana.ramsey/video/7475908479610473774,2/26/2025 17:43
"ITS VAN SVNS LETS GOOOOO  We’re live tomorrow and make sure you tune in on RugbyPass TV @Vancouver Sevens #vansvns  FRI, FEB 21 VS CHINA 5:44 PM ET vs IRELAND 11:14 PM ET. WATCH LIVE RUGBYPASS TY SAT, FEB 22 vs NEW ZEALAND 5:24 PM ET WATCH LIVE RUGBYPASS TY",1160,111,7,2,1,https://www.tiktok.com/@ariana.ramsey/video/7473605573863509294,2/20/2025 12:46
,1381,115,4,1,0,https://www.tiktok.com/@ariana.ramsey/photo/7472198080004377902,2/16/2025 0:00
A little bit of my journey ❣️💌 #rugby #olympian #paris2024 #parisolympics #LA2028 ,13800,2174,34,5,26,https://www.tiktok.com/@ariana.ramsey/video/7472089118185475374,2/16/2025 10:41
Hate should not be normalized in our society and is something that we can combat on a daily by doing the small positive things! #whatsupwithhate @What’s Up With Hate ,915,71,3,2,0,https://www.tiktok.com/@ariana.ramsey/video/7470628547300937006,2/12/2025 12:14
,712,59,12,0,0,https://www.tiktok.com/@ariana.ramsey/video/7470608459361340718,2/12/2025 10:56
"Guys, I’m finally doing my Nike hall, but this is what I got from the company store! Another haul coming soon because I have more on the way lol #nikehaul #nike @Nike ",1135,71,9,0,1,https://www.tiktok.com/@ariana.ramsey/video/7470586748263746859,2/12/2025 9:32
,2736,138,4,1,0,https://www.tiktok.com/@ariana.ramsey/video/7467318294580612395,2/3/2025 14:08
"WATCH LIVE ON RUGBYPASS TV APP THU, JAN 23 vs FIJI 11:06 PM ET FRI, JAN 24 vs GREAT BRITAIN | 3:43 AM ET SAT, JAN 25 vs CANADA 1:41 AM ET FINAL ROUNDS BEGIN SAT JAN 25 6:03 AM ET WATCH LIVE RUGBYPASS APP",1270,145,7,0,1,https://www.tiktok.com/@ariana.ramsey/video/7461372374991080746,1/18/2025 13:35
Does slick deserve to go through? 🤔 the plot continues #rugbyandflow #rugbytok #rugbytok @suglizz @Aut ,825,49,2,0,0,https://www.tiktok.com/@ariana.ramsey/video/7458092998706859307,1/9/2025 17:29
#fyp #rugby #rugbytok #olympian ,2703,239,7,0,2,https://www.tiktok.com/@ariana.ramsey/video/7457295167276600619,1/7/2025 13:53
YOOO we just dropped a new series called Rugby & Flow!! Make sure y’all tune it 😂😂@Nia Toliver @suglizz @Aut ,1256,125,4,0,1,https://www.tiktok.com/@ariana.ramsey/video/7456928420300115243,1/6/2025 14:10
Your favorite gym buddy ❤️❤️✨ Go get after it ladies and gents!! 🫶🏼✨🎉 #gymtok #rugbytok #olympian #workouts #gymworkouts #fitness #fittok ,2307,303,7,2,13,https://www.tiktok.com/@ariana.ramsey/video/7456193263813266731,1/4/2025 14:37
2024 I LOVE YOU 💖✨ #2024recap #olympics #2024 ,2388,407,9,0,4,https://www.tiktok.com/@ariana.ramsey/video/7454719361610353966,12/31/2024 15:18
SO UNREAL!! 💙 #sixers Thank you so much @Philadelphia 76ers for the opportunity!! 💙💙,1900,189,7,0,1,https://www.tiktok.com/@ariana.ramsey/video/7450876363818716462,12/21/2024 6:45
Happy Tuesday! Let’s go get after it!! ##usarugby##usa##fittok##fyp##rugbytok##gymworkouts##gymtok##rugby##workouts,1528,138,9,0,5,https://www.tiktok.com/@ariana.ramsey/video/7449486577455222062,12/17/2024 12:52
What do you think about wearing sweatpants on the first dateit’s a no for me! 😭😂 New episode out now!!  @The Medalist Table Podcast @Noah Malone #foryou #fyp #viral #podcast ,2107,61,2,4,2,https://www.tiktok.com/@ariana.ramsey/video/7447755482413927726,12/12/2024 20:55
Traveling the world is truly changing my life. I am so grateful ❤️🇿🇦✨ #rugbh #usa #southafrica #capetown ,2097,281,8,0,1,https://www.tiktok.com/@ariana.ramsey/video/7445346386041654574,12/6/2024 9:06
HABIBIIII COME TO DUBAIII ✨👳🏽❤️🕌😍 #dubai #rugby ,1344,85,1,0,0,https://www.tiktok.com/@ariana.ramsey/video/7442733025604980014,11/29/2024 8:05
We made it to Dubai!!! #rugby #fyp #dubaiholidayinn #dubai ,5698,239,6,31,12,https://www.tiktok.com/@ariana.ramsey/video/7440902415785659691,11/24/2024 9:41
"I just spoke at the Philadelphia youth summit, and boy am I feeling inspired! My only goal is to inspire people one post, one game, one speech, and one interaction at a time! 💗✨ Thank you @philayouthsports ✨ ",924,111,5,2,0,https://www.tiktok.com/@ariana.ramsey/video/7439020561147415854,11/19/2024 7:59
Were live today at 6:30 PM EST!! TAPP INNN @Premier Rugby Sevens ,1202,120,6,3,0,https://www.tiktok.com/@ariana.ramsey/video/7438301459990465838,11/17/2024 9:28
"I’m tripping out on Sunday first game back since the Olympics??!! It’s up! 😜 LIVE ON FS2, YouTube @prsevens , and @rugbypass !! LFFGG  #rugby #fyp #usa ",1260,136,5,3,0,https://www.tiktok.com/@ariana.ramsey/video/7437899310211042602,11/16/2024 7:28
Like for real though!! #oregan ,1139,92,5,1,1,https://www.tiktok.com/@ariana.ramsey/video/7437697834360540462,11/15/2024 18:26
WE MADE IT 🥳 Playing at providence park this Sunday @3:30 PM!!   ,1230,126,5,0,1,https://www.tiktok.com/@ariana.ramsey/video/7437656067250703659,11/15/2024 15:44
Replying to @Chloe Foust I love this question Chloe thank you!!!! #rugby #fyp ,1316,162,8,2,4,https://www.tiktok.com/@ariana.ramsey/video/7437160800332057902,11/14/2024 7:42
"Noah and I have a podcast where we talk sports, relationships, and give overall insight about what we do!! Please go subscribe on youtube link is in the @The Medalist Table Podcast BIO!! ❤️❤️",789,49,1,2,0,https://www.tiktok.com/@ariana.ramsey/video/7437149923360984366,11/14/2024 7:00
"You guys asked, and we are delivering!!!! #rugby #fyp @Premier Rugby Sevens ",27600,5650,108,94,82,https://www.tiktok.com/@ariana.ramsey/video/7436878855727795502,11/13/2024 13:28
Literally even my closest family members think that I don’t have a job and that I just play sports and my free time 😂 ##rugby##olympian,1145,94,3,1,0,https://www.tiktok.com/@ariana.ramsey/video/7435402850387201323,11/9/2024 14:00
My phone has been blowing up all morning! Make sure you go vote today!! #KAMALA ,1026,96,2,3,0,https://www.tiktok.com/@ariana.ramsey/video/7433867055864106283,11/5/2024 10:40
DWR FOR LIFEE!! #rugby #olympian #usarugby ,2065,190,1,4,1,https://www.tiktok.com/@ariana.ramsey/video/7433521075629083947,11/4/2024 12:18
Guysss I finally go to meet the new DWR girls and theyre so freaking sweet 😭💚 DWR4lyfeeeeee #rugby #dartmouth,1964,195,4,0,0,https://www.tiktok.com/@ariana.ramsey/video/7433181341497298218,11/3/2024 14:19
GUYS!! Noah and I finally launched our podcast! You can listen on all streaming platforms and on Youtube @themedalisttablepodcast,915,67,1,0,0,https://www.tiktok.com/@ariana.ramsey/video/7431979176107707691,10/31/2024 9:34
"An injury did not mean the end for me! I got injured in the Tokyo Olympics, made it to Paris, and now were on the road to 2028!! ❤️❤️ stay tuned gor the journey friends ❤️✨  #aclinjury #rugby #teamusa #usarugby ",1873,227,4,0,2,https://www.tiktok.com/@ariana.ramsey/video/7430578724413705518,10/27/2024 15:00
All my teammates have cool tricks 😂😂 @suglizz ,1287,157,4,1,0,https://www.tiktok.com/@ariana.ramsey/video/7429830174503619886,10/25/2024 14:35
Rugby Workouts! Go get after it today! #rugbyworkouts #rugby ,2029,196,11,2,19,https://www.tiktok.com/@ariana.ramsey/video/7429447591181552938,10/24/2024 13:51
PRAY FOR ME ON TUESDAYS YALL 😭 Pray for me on Tuesdays yall 😣 Every female athletes knows the additional struggle that our period brings and it just makes us that much stronger!! #sportyourperiod #usarugby #rugby @KNIX ,3567,231,1,1,7,https://www.tiktok.com/@ariana.ramsey/video/7428679662458391851,10/22/2024 12:11
SO MUCH FUNNN last night💕💕💕,1535,127,3,1,0,https://www.tiktok.com/@ariana.ramsey/photo/7428435254702066986,10/21/2024 0:00
Part two coming soon 😂 #rugby #usarugby ,1536,115,3,0,1,https://www.tiktok.com/@ariana.ramsey/video/7427568807192956202,10/19/2024 12:20
"Guys, I’m gonna do a #TBT Throwback Olympic Thursday every week from now on! FULL YOURUBE VID IN BIO! But I was definitely feeling like appropriate young man in this opening ceremony outfit!! LOL #usa #olympian #rugby #paris2024 ",949,57,4,0,0,https://www.tiktok.com/@ariana.ramsey/video/7426937280469749034,10/17/2024 19:29
"Now that the Olympics is over, these next few months and year is about re-building the foundation of this team. For myself, it’s about rebuilding the small technical details of my play and TRULY FOCUSING ON THE DETAIL. Excited for this next 4 year journey ❤️ #rugby #olympian #usarugby ",954,88,4,0,1,https://www.tiktok.com/@ariana.ramsey/video/7426430985723596074,10/16/2024 10:45
"As an Olympian, I’m always on the lookout for the best gear to support my training, even during my downtime. #ad That’s why I’m loving my @Gdefy sneakers! They’re not just comfortable; they make my runs feel effortless. Whether I’m hitting the pavement or just enjoying a casual jog, these shoes have become my go-to. Comfort and performance are everything, and Gdefy delivers both in every step! 🏃‍♀️ #OlympianApproved #Gdefy #gdefyshoes ",2753,90,7,1,8,https://www.tiktok.com/@ariana.ramsey/video/7426098670971505966,10/15/2024 13:15
SAVANNAH SLOW DOWN 😂 #rugby #usa ,2663,280,3,6,3,https://www.tiktok.com/@ariana.ramsey/video/7425713456503885099,10/14/2024 12:20
#CapCut the way i have worked and manifested this life for my self has shown numbers 🤍 all glory to allah 🤍,793,97,5,1,1,https://www.tiktok.com/@ariana.ramsey/video/7425473986022149419,10/13/2024 20:51
No but seriously but lets talk about it because what on earth is going on with US!! ,2189,238,14,1,4,https://www.tiktok.com/@ariana.ramsey/video/7425471483184467242,10/13/2024 20:41
IYKYK ,774,53,3,0,0,https://www.tiktok.com/@ariana.ramsey/video/7425468027308739886,10/13/2024 20:28
HAPPY BIRTHDAY TO THE LOML 🥹💖🥰😍 @Noah Malone ,785,96,1,1,0,https://www.tiktok.com/@ariana.ramsey/video/7425303865907547435,10/13/2024 9:51
We’re having so much fun guys 😂 @Noah Malone ,1436,162,9,4,2,https://www.tiktok.com/@ariana.ramsey/video/7425051029764459819,10/12/2024 17:30
@suglizz 😂😂 hey shes almost there yall 😅,2644,141,7,4,4,https://www.tiktok.com/@ariana.ramsey/video/7424597924392209706,10/11/2024 12:11
"First bronco this seasonnnn, let’s go!!! #rugby #usarugby",2857,367,16,2,5,https://www.tiktok.com/@ariana.ramsey/video/7424244548630531370,10/10/2024 13:20
😂😂😂 @Nia Toliver ,2163,168,3,2,2,https://www.tiktok.com/@ariana.ramsey/video/7423909457211526442,10/9/2024 15:40
Were all settled in now what 🤣,1984,285,8,0,1,https://www.tiktok.com/@ariana.ramsey/video/7422849609350778155,10/6/2024 19:07
GUYS I LOVE MY @Lull Bed !! This is actually my favorite mattress brand and I’m so excited to finally get to be a #lullpartner #getyourlullon  Get 50% OFF any Lull mattress PLUS a FREE Comfort Collection and use my special code ARIANAR50 at checkout for an extra $50 OFF ,1029,94,8,0,1,https://www.tiktok.com/@ariana.ramsey/video/7421354959117077803,10/2/2024 18:27
@Noah Malone we’ve come a long way 😂🤍,2462,317,25,2,2,https://www.tiktok.com/@ariana.ramsey/video/7420490179875458347,9/30/2024 10:31
The hardest part really is getting up out of bed 😩,1324,142,11,1,4,https://www.tiktok.com/@ariana.ramsey/video/7418251244546084142,9/24/2024 9:43
SO EXCITINGGGG 😆😆😁,2248,281,18,1,2,https://www.tiktok.com/@ariana.ramsey/video/7416474179689598250,9/19/2024 14:47
Aruba is so beautiful!!! Yall know we both deserved a trip FINALLY after all of the competing 😩❤️   @Noah Malone ,1169,103,6,1,0,https://www.tiktok.com/@ariana.ramsey/photo/7416172751423016238,9/18/2024 0:00
living the actual dream guys,3682,519,15,0,3,https://www.tiktok.com/@ariana.ramsey/video/7415365011834408234,9/16/2024 15:03
Your fav Olymoic couple 🤭🏝️,2261,226,4,1,1,https://www.tiktok.com/@ariana.ramsey/video/7415029277227240746,9/15/2024 17:20
Our first real BAECATION 🩵@Noah Malone ,2432,259,9,3,0,https://www.tiktok.com/@ariana.ramsey/video/7414252881806904622,9/13/2024 15:07
🩵🩵,1045,92,3,1,1,https://www.tiktok.com/@ariana.ramsey/video/7414252107743677738,9/13/2024 15:04
Guess where I’m headed next!!!,1369,105,1,0,0,https://www.tiktok.com/@ariana.ramsey/video/7414136684209556782,9/13/2024 7:36
STORY OF MY LIFE ,2952,422,15,1,5,https://www.tiktok.com/@ariana.ramsey/video/7413137089660816686,9/10/2024 14:58
Guys my acne has been so bad lately 😩 @Avery  🇯🇲 ,1312,65,3,2,1,https://www.tiktok.com/@ariana.ramsey/video/7412985335937912107,9/10/2024 5:09
I went light on her today yall!!  @Avery  🇯🇲 ,2080,225,9,0,2,https://www.tiktok.com/@ariana.ramsey/video/7412749927006260526,9/9/2024 13:55
@tarte cosmetics 💜 thank you!! ,1289,131,10,1,0,https://www.tiktok.com/@ariana.ramsey/video/7412636811220077870,9/9/2024 6:36
Update!!!,2534,195,8,0,3,https://www.tiktok.com/@ariana.ramsey/video/7411867054988348714,9/7/2024 4:49
Your fav medalist couple 🥹,10300,1251,32,9,14,https://www.tiktok.com/@ariana.ramsey/photo/7409948605315894570,9/2/2024 0:00
What a time 🥹🥈💗,5827,940,23,3,13,https://www.tiktok.com/@ariana.ramsey/video/7409915543316303150,9/1/2024 22:36
LETS GOOOOO 😍😍 FINAL TONIGHT LIVE @ 9PM PARIS TIME  3PM EST ,6054,668,34,2,7,https://www.tiktok.com/@ariana.ramsey/video/7409333589659110699,8/31/2024 8:58
We made it thoughhh ,12300,671,45,13,19,https://www.tiktok.com/@ariana.ramsey/video/7409293651995544875,8/31/2024 6:23
GAME DAY FIT!!! 😍,8120,638,10,6,12,https://www.tiktok.com/@ariana.ramsey/video/7408921459629903150,8/30/2024 6:19
LETSS GOOO Semis August 30th @4am EST ON PEACOCK Finals August 31th @1PM EST ON PEACOCK,14200,1804,92,15,31,https://www.tiktok.com/@ariana.ramsey/video/7407835848470940974,8/27/2024 8:06
GOOD LUCK THIS SEASON!! @Philadelphia Eagles 🦅💚,4285,490,15,2,4,https://www.tiktok.com/@ariana.ramsey/video/7406862506746039595,8/24/2024 17:09
Paris outfits ✨💗 #outfits ,4374,205,17,2,1,https://www.tiktok.com/@ariana.ramsey/video/7406396154352635178,8/23/2024 10:59
Crazy 🐷,4124,419,15,6,7,https://www.tiktok.com/@ariana.ramsey/video/7406334281120845102,8/23/2024 6:59
Rugby 101 videos coming soon 😄 #rugby #rugbydemure,33300,8786,70,466,116,https://www.tiktok.com/@ariana.ramsey/video/7405400157728017707,8/20/2024 18:34
"Guys, I got all my really cute outfits for Paris! I’m so excited to go back and I LOVE @francesca’s they are so cuteeeee ##bestkingofprussiastores##kingofprussiamall",3978,171,5,0,11,https://www.tiktok.com/@ariana.ramsey/video/7405391678586113322,8/20/2024 18:01
My favorite video ever,4573,488,12,0,11,https://www.tiktok.com/@ariana.ramsey/video/7405297773362433326,8/20/2024 11:57
Hometown hero vibez or whatevvaaa 😜,3214,247,6,0,2,https://www.tiktok.com/@ariana.ramsey/video/7404945699374107946,8/19/2024 13:11
@Uncrustables I LOVE YOU,4728,315,13,1,4,https://www.tiktok.com/@ariana.ramsey/video/7404559408795028779,8/18/2024 12:12
I manifested this forreal 🥹✨💕🏉,10300,1797,19,2,17,https://www.tiktok.com/@ariana.ramsey/video/7404171575873916202,8/17/2024 11:07
Where are the Emily in Paris collections??? @FashionNova @prettylittlething @Oh Polly @Meshki ,7333,308,14,1,5,https://www.tiktok.com/@ariana.ramsey/video/7403937742079561006,8/16/2024 19:59
